"","Date","HomeTeam","AwayTeam","result","HomeTeam_elo","AwayTeam_elo"
"1","19/09/2020","Fiorentina","Torino",1,1640,1583
"2","19/09/2020","Verona","Roma",0.5,1546,1745
"3","20/09/2020","Parma","Napoli",0,1579,1760
"4","20/09/2020","Genoa","Crotone",1,1548,1491
"5","20/09/2020","Sassuolo","Cagliari",0.5,1633,1580
"6","20/09/2020","Juventus","Sampdoria",1,1835,1586
"7","21/09/2020","Milan","Bologna",1,1764,1582
"8","26/09/2020","Torino","Atalanta",0,1574.62602956738,1823
"9","26/09/2020","Cagliari","Lazio",0,1581.51373904753,1726
"10","26/09/2020","Sampdoria","Benevento",0,1582.14848363343,1557
"11","26/09/2020","Inter","Fiorentina",1,1839,1648.37397043262
"12","27/09/2020","Spezia","Sassuolo",0,1491,1631.48626095247
"13","27/09/2020","Napoli","Genoa",1,1765.21559491719,1556.37397043262
"14","27/09/2020","Verona","Udinese",1,1551.17389240294,1593
"15","27/09/2020","Crotone","Milan",0,1482.62602956738,1769.1934316097
"16","27/09/2020","Roma","Juventus",0.5,1739.82610759706,1838.85151636657
"17","28/09/2020","Bologna","Parma",1,1576.8065683903,1573.78440508281
"18","30/09/2020","Benevento","Inter",0,1567.72257005912,1844.00480398849
"19","30/09/2020","Udinese","Spezia",0,1581.80192998412,1484.83666499916
"20","30/09/2020","Lazio","Atalanta",0,1732.06558884604,1826.8627356464
"21","02/10/2020","Fiorentina","Sampdoria",0,1643.36916644413,1571.4259135743
"22","03/10/2020","Sassuolo","Crotone",1,1637.64959595331,1479.402808601
"23","03/10/2020","Udinese","Roma",0,1569.08131772016,1742.60153758226
"24","04/10/2020","Atalanta","Cagliari",1,1834.20000542222,1575.44815020149
"25","04/10/2020","Benevento","Bologna",1,1564.33604109856,1586.71958573184
"26","04/10/2020","Lazio","Inter",0.5,1724.72831907022,1847.39133294905
"27","04/10/2020","Parma","Verona",1,1563.87138774127,1562.37196241882
"28","04/10/2020","Milan","Spezia",1,1772.41665257608,1497.55727726311
"29","17/10/2020","Napoli","Atalanta",1,1769.83731550623,1837.87995493151
"30","17/10/2020","Inter","Milan",0,1844.00053391442,1775.82628505053
"31","17/10/2020","Sampdoria","Lazio",1,1583.46751025473,1728.11911810486
"32","17/10/2020","Crotone","Juventus",0.5,1473.66666524062,1836.07608638138
"33","18/10/2020","Bologna","Sassuolo",0,1576.07622539001,1643.38573931369
"34","18/10/2020","Spezia","Fiorentina",0.5,1494.14764478866,1631.32756976371
"35","18/10/2020","Torino","Cagliari",0,1570.76329392097,1571.7682006922
"36","18/10/2020","Udinese","Parma",1,1563.69801589996,1573.82823107926
"37","18/10/2020","Roma","Benevento",1,1747.98483940247,1574.97940144039
"38","19/10/2020","Verona","Genoa",0.5,1552.41511908083,1551.75224984358
"39","23/10/2020","Sassuolo","Torino",0.5,1651.47229469815,1560.79221738221
"40","24/10/2020","Atalanta","Sampdoria",0,1825.94619006883,1597.40594303765
"41","24/10/2020","Genoa","Inter",0,1551.77132873073,1832.06312294599
"42","24/10/2020","Lazio","Bologna",1,1714.18068532194,1567.98967000555
"43","25/10/2020","Cagliari","Crotone",1,1581.73927723097,1481.45775079534
"44","25/10/2020","Benevento","Napoli",0,1569.58443303284,1781.77108036891
"45","25/10/2020","Parma","Spezia",0.5,1563.53674264549,1497.90285899957
"46","25/10/2020","Fiorentina","Udinese",1,1627.5723555528,1573.98950433373
"47","25/10/2020","Juventus","Verona",0.5,1828.28500082665,1552.39604019368
"48","26/10/2020","Milan","Roma",0.5,1787.76369601896,1753.37980781002
"49","31/10/2020","Crotone","Atalanta",0,1474.26651621354,1810.17727080154
"50","31/10/2020","Inter","Parma",0.5,1835.38521770743,1561.66980332557
"51","31/10/2020","Bologna","Cagliari",1,1561.9654723608,1588.93051181277
"52","01/11/2020","Udinese","Milan",0,1565.51963060927,1786.7772664361
"53","01/11/2020","Spezia","Juventus",0,1499.76979831949,1821.67790302881
"54","01/11/2020","Torino","Lazio",0,1563.34450723818,1720.2048829667
"55","01/11/2020","Napoli","Sassuolo",0,1786.32472717764,1648.92000484218
"56","01/11/2020","Roma","Fiorentina",1,1754.36623739287,1636.04222927727
"57","01/11/2020","Sampdoria","Genoa",0.5,1613.17486230494,1548.44923396929
"58","02/11/2020","Verona","Benevento",1,1559.00313799152,1565.0307862241
"59","04/11/2020","Genoa","Torino",0,1550.29093049651,1557.57565903186
"60","06/11/2020","Sassuolo","Udinese",0.5,1662.68077548817,1561.14700788512
"61","07/11/2020","Cagliari","Sampdoria",1,1578.15595017236,1611.33316577771
"62","07/11/2020","Benevento","Spezia",0,1554.85731396595,1497.05949923196
"63","07/11/2020","Parma","Fiorentina",0.5,1568.24150523578,1629.32203630684
"64","08/11/2020","Lazio","Juventus",0.5,1725.97373117301,1824.38820211634
"65","08/11/2020","Atalanta","Inter",0.5,1812.70419632244,1828.81351579722
"66","08/11/2020","Genoa","Roma",0,1540.50057111827,1761.08643036331
"67","08/11/2020","Torino","Crotone",0.5,1567.3660184101,1471.73959069263
"68","08/11/2020","Bologna","Napoli",0,1572.74003400121,1772.56395653165
"69","08/11/2020","Milan","Verona",0.5,1791.14988916025,1569.17661024967
"70","21/11/2020","Crotone","Lazio",0,1474.4244830959,1728.73292355954
"71","21/11/2020","Spezia","Atalanta",0.5,1508.70787623568,1813.16752782676
"72","21/11/2020","Juventus","Cagliari",1,1821.62900972982,1589.10797522338
"73","22/11/2020","Fiorentina","Benevento",0,1627.58188806589,1543.20893696223
"74","22/11/2020","Inter","Torino",1,1828.3501842929,1564.68112600683
"75","22/11/2020","Roma","Parma",1,1765.47227976983,1569.98165347673
"76","22/11/2020","Sampdoria","Bologna",0,1600.3811407267,1567.93127134143
"77","22/11/2020","Verona","Sassuolo",0,1574.81804627084,1659.83884483383
"78","22/11/2020","Udinese","Genoa",1,1563.98893853946,1536.11472171175
"79","22/11/2020","Napoli","Milan",0,1777.37271919144,1785.50845313908
"80","28/11/2020","Sassuolo","Inter",0,1667.43945347772,1831.94589520734
"81","28/11/2020","Benevento","Juventus",0.5,1555.5907474207,1825.78415093389
"82","28/11/2020","Atalanta","Verona",0,1806.12189228174,1567.21743762695
"83","29/11/2020","Lazio","Udinese",0,1732.49030260039,1573.18837099629
"84","29/11/2020","Bologna","Crotone",1,1578.86254732241,1470.66710405505
"85","29/11/2020","Milan","Fiorentina",1,1795.27433068357,1615.20007760742
"86","29/11/2020","Cagliari","Spezia",0.5,1584.95283401931,1515.75351178071
"87","29/11/2020","Napoli","Roma",1,1767.60684164695,1770.37274234748
"88","30/11/2020","Torino","Sampdoria",0.5,1561.08541509238,1589.44986474571
"89","30/11/2020","Genoa","Parma",0,1526.91528925493,1565.08119089907
"90","05/12/2020","Spezia","Lazio",0,1517.71930297757,1718.2016299963
"91","05/12/2020","Juventus","Torino",1,1819.2704252559,1561.90000064533
"92","05/12/2020","Inter","Bologna",1,1837.53576601015,1585.84534068892
